"","Curso","Turno","Ensino médio","Opinião","Renda","Nota ENEM","IAA"
"32","Elétrica","Diurno","Somente em pública","Muito satisfeito",1.24,583,5.507
"33","Mecânica","Integral","Maior parte em pública","Insatisfeito",1.94,565,4.653
"34","Civil","Integral","Maior parte em particular","Indiferente",1.22,617,5.417
"35","Produção","Diurno","Somente em pública","Satisfeito",1.53,550,4.936
"36","Civil","Noturno","Somente em pública","Muito satisfeito",1.02,215,3.138
"37","Mecânica","Integral","Maior parte em pública","Insatisfeito",1.61,553,4.946
"38","Química","Diurno","Somente em pública","Muito satisfeito",1.11,490,4.623
"39","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.88,841,6.683
"40","Química","Diurno","Maior parte em particular","Satisfeito",1.03,379,3.541
"41","Química","Noturno","Somente em pública","Satisfeito",1.41,677,5.413
"42","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.32,523,4.796
"43","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.13,347,3.842
"44","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.03,358,4.272
"45","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.23,380,3.733
"46","Mecânica","Integral","Maior parte em particular","Insatisfeito",NA,674,6.147
"47","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.08,470,4.568
"48","Mecânica","Noturno","Somente em pública","Satisfeito",1.06,211,3.082
"49","Mecânica","Diurno","Somente em pública","Satisfeito",1.19,685,5.565
"50","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.64,559,5.003
"51","Computação","Integral","Somente em pública","Satisfeito",2.19,602,5.663
"52","Civil","Diurno","Somente em pública","Satisfeito",2.15,415,3.654
"53","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,362,3.394
"54","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.69,689,5.93
"55","Produção","Integral","Somente em pública","Indiferente",2.45,389,3.772
"56","Mecânica","Noturno","Somente em pública","Satisfeito",1.44,371,3.999
"57","Computação","Noturno","Somente em pública","Muito satisfeito",1.09,410,4.049
"58","Química","Integral","Somente em pública","Satisfeito",1.89,611,5.376
"59","Química","Noturno","Somente em pública","Muito satisfeito",1,313,2.856
"60","Mecânica","Integral","Somente em pública","Insatisfeito",2.23,656,5.418
"61","Produção","Diurno","Somente em pública","Muito satisfeito",1.05,848,6.451
"62","Produção","Noturno","Somente em particular","Satisfeito",2.47,409,3.788
"63","Química","Noturno","Somente em pública","Muito satisfeito",1.24,364,3.269
"64","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",5.03,704,5.801
"65","Computação","Noturno","Somente em pública","Muito satisfeito",1.09,473,4.984
"66","Mecânica","Integral","Somente em pública","Insatisfeito",3.79,815,6.318
"67","Produção","Diurno","Somente em pública","Satisfeito",1.23,584,5.716
"68","Mecânica","Integral","Maior parte em pública","Insatisfeito",15.68,692,5.653
"69","Mecânica","Integral","Somente em pública","Indiferente",1.44,551,5.35
"70","Mecânica","Integral","Somente em pública","Insatisfeito",2.9,730,6.362
"71","Computação","Noturno","Somente em pública","Muito satisfeito",1.74,478,4.651
"72","Produção","Integral","Maior parte em particular","Indiferente",1.48,589,5.301
"73","Química","Integral","Maior parte em particular","Insatisfeito",2.47,640,5.643
"74","Química","Noturno","Somente em pública","Muito satisfeito",1.07,437,3.954
"75","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.53,490,4.603
"76","Química","Diurno","Somente em pública","Muito satisfeito",1.99,571,5.22
"77","Mecânica","Diurno","Somente em pública","Indiferente",2,478,4.602
"78","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.81,605,5.386
"79","Química","Integral","Somente em pública","Indiferente",6.6,479,4.476
"80","Produção","Integral","Somente em pública","Insatisfeito",1.69,527,4.806
"81","Produção","Integral","Maior parte em particular","Insatisfeito",1.78,512,4.609
"82","Produção","Diurno","Maior parte em particular","Indiferente",1.41,392,3.823
"83","Química","Noturno","Somente em pública","Muito satisfeito",1.04,428,3.987
"84","Produção","Integral","Somente em pública","Indiferente",2.34,448,4.649
"85","Computação","Noturno","Somente em pública","Satisfeito",1.19,374,4.221
"86","Produção","Noturno","Somente em pública","Muito satisfeito",1,301,2.933
"87","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,248,2.799
"88","Elétrica","Integral","Maior parte em particular","Indiferente",2.71,595,5.407
"89","Produção","Integral","Maior parte em pública","Muito insatisfeito",3.59,649,5.645
"90","Mecânica","Diurno","Somente em pública","Satisfeito",1.35,386,3.858
"91","Civil","Noturno","Somente em pública","Muito satisfeito",1.07,307,3.479
"92","Computação","Noturno","Somente em pública","Muito satisfeito",1.14,422,3.784
"93","Mecânica","Integral","Somente em pública","Insatisfeito",2.83,637,5.361
"94","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",2.2,536,5.016
"95","Química","Noturno","Somente em pública","Muito satisfeito",1.04,455,4.481
"96","Produção","Integral","Maior parte em particular","Insatisfeito",1.99,464,4.255
"97","Produção","Integral","Maior parte em pública","Insatisfeito",1.35,649,5.546
"98","Computação","Noturno","Somente em pública","Muito satisfeito",1,376,3.956
"99","Computação","Noturno","Somente em pública","Muito satisfeito",1.05,392,4.123
"100","Produção","Diurno","Somente em pública","Muito satisfeito",1.04,485,4.44
"101","Produção","Diurno","Somente em pública","Indiferente",2.26,379,4.002
"102","Química","Diurno","Somente em pública","Indiferente",1.15,569,4.806
"103","Química","Diurno","Maior parte em particular","Satisfeito",1.3,494,4.427
"104","Química","Noturno","Somente em pública","Muito satisfeito",1.09,422,4.062
"105","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,392,3.98
"106","Química","Integral","Maior parte em particular","Insatisfeito",1.25,656,5.691
"107","Química","Noturno","Somente em pública","Indiferente",1.6,575,5.084
"108","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.73,731,6.116
"109","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.03,470,4.347
"110","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.01,337,3.591
"111","Química","Diurno","Somente em pública","Satisfeito",1.67,571,5.272
"112","Computação","Diurno","Somente em pública","Muito satisfeito",1.26,382,3.936
"113","Mecânica","Diurno","Somente em pública","Satisfeito",1.44,599,5.315
"114","Computação","Diurno","Maior parte em particular","Satisfeito",1.47,170,2.332
"115","Química","Integral","Maior parte em pública","Insatisfeito",1.47,430,4.464
"116","Computação","Noturno","Somente em pública","Muito satisfeito",1.09,698,5.542
"117","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.04,203,2.453
"118","Mecânica","Integral","Maior parte em pública","Insatisfeito",2.47,667,5.265
"119","Química","Diurno","Maior parte em pública","Indiferente",1.93,547,5.281
"120","Química","Integral","Maior parte em pública","Insatisfeito",2.15,517,4.607
"121","Elétrica","Diurno","Somente em pública","Muito satisfeito",1.16,413,4.473
"122","Química","Integral","Maior parte em pública","Insatisfeito",2.18,643,5.805
"123","Produção","Integral","Maior parte em pública","Muito insatisfeito",1.93,895,7.186
"124","Química","Noturno","Somente em pública","Muito satisfeito",1.13,661,5.699
"125","Química","Diurno","Somente em pública","Muito satisfeito",1.13,562,5.105
"126","Produção","Integral","Maior parte em pública","Insatisfeito",1.66,521,4.93
"127","Civil","Noturno","Somente em particular","Muito satisfeito",1.19,425,4.116
"128","Computação","Noturno","Somente em pública","Muito satisfeito",1.04,622,5.691
"129","Computação","Noturno","Somente em pública","Muito satisfeito",1.06,356,3.999
"130","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",2.75,782,6.75
"131","Produção","Diurno","Somente em pública","Muito satisfeito",1.06,298,3.36
"132","Mecânica","Integral","Somente em pública","Insatisfeito",1.94,580,5.111
"133","Computação","Noturno","Somente em pública","Muito satisfeito",1.05,350,3.207
"134","Elétrica","Noturno","Somente em pública","Muito satisfeito",NA,493,4.109
"135","Computação","Diurno","Maior parte em particular","Indiferente",1.84,515,4.721
"136","Computação","Noturno","Somente em pública","Muito satisfeito",1.06,545,4.971
"137","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.27,481,4.547
"138","Química","Noturno","Somente em pública","Muito satisfeito",1.05,530,5.12
"139","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",5.26,664,5.637
"140","Produção","Integral","Somente em pública","Satisfeito",1.25,451,4.481
"141","Mecânica","Integral","Maior parte em pública","Insatisfeito",1.82,623,5.351
"142","Computação","Diurno","Somente em pública","Satisfeito",1.55,595,5.622
"143","Civil","Noturno","Somente em pública","Muito satisfeito",1.44,458,4.03
"144","Mecânica","Diurno","Somente em pública","Indiferente",1.18,518,5.188
"145","Produção","Diurno","Somente em pública","Muito satisfeito",1.45,368,4.082
"146","Civil","Noturno","Somente em particular","Muito satisfeito",1,67,1.634
"147","Computação","Noturno","Somente em pública","Satisfeito",1.04,479,4.324
"148","Produção","Integral","Maior parte em pública",NA,1.51,623,5.478
"149","Elétrica","Diurno","Somente em pública","Muito satisfeito",1.04,187,2.743
"150","Computação","Noturno","Somente em pública","Muito satisfeito",1.16,472,4.643
"151","Produção","Integral","Maior parte em pública","Muito insatisfeito",3.31,694,6.364
"152","Civil","Noturno","Somente em particular","Muito satisfeito",1.06,427,4.609
"153","Química","Noturno","Somente em pública","Muito satisfeito",1.27,458,4.302
"154","Mecânica","Diurno","Somente em pública","Muito satisfeito",1.27,607,5.51
"155","Química","Noturno","Somente em particular","Muito satisfeito",1.02,424,4.183
"156","Produção","Integral","Maior parte em pública","Muito insatisfeito",4.02,610,5.34
"157","Produção","Integral","Maior parte em pública","Muito insatisfeito",3.13,662,5.595
"158","Produção","Integral","Somente em pública","Insatisfeito",2.07,566,5.163
"159","Mecânica","Integral","Maior parte em pública","Insatisfeito",1.29,562,4.775
"160","Mecânica","Diurno","Maior parte em particular","Indiferente",1.46,557,5.031
"161","Computação","Diurno","Somente em pública","Muito satisfeito",1.6,364,3.326
"162","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.18,385,3.358
"163","Produção","Integral","Maior parte em particular","Satisfeito",1.58,625,5.364
"164","Produção","Noturno","Somente em pública","Satisfeito",1.03,566,5.118
"165","Mecânica","Integral","Maior parte em particular","Indiferente",1.51,701,6.047
"166","Elétrica","Noturno","Somente em pública","Muito satisfeito",1,142,2.278
"167","Produção","Integral","Maior parte em pública","Muito insatisfeito",2.25,532,5.151
"168","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.9,584,5.684
"169","Computação","Noturno","Somente em particular","Muito satisfeito",1.05,424,4.043
"170","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.52,557,4.68
"171","Produção","Diurno","Maior parte em particular","Indiferente",1.19,635,5.613
"172","Produção","Diurno","Somente em pública","Insatisfeito",2.35,737,5.848
"173","Produção","Noturno","Somente em pública","Satisfeito",1.47,482,4.342
"174","Produção","Diurno","Somente em pública","Insatisfeito",2.12,407,4.035
"175","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.03,349,3.84
"176","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.08,190,3.024
"177","Civil","Noturno","Somente em particular","Muito satisfeito",1.02,460,4.365
"178","Química","Noturno","Somente em pública","Satisfeito",1.75,463,4.043
"179","Computação","Integral","Somente em pública","Indiferente",2.79,704,6.658
"180","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.47,578,5.238
"181","Química","Noturno","Somente em particular","Muito satisfeito",1.4,328,3.264
"182","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.24,743,6.515
"183","Química","Noturno","Somente em particular","Muito satisfeito",1.28,412,4.235
"184","Química","Diurno","Somente em pública","Satisfeito",1.95,533,5.23
"185","Química","Diurno","Somente em pública","Satisfeito",1.15,619,5.519
"186","Elétrica","Integral","Somente em pública","Indiferente",2.01,424,3.922
"187","Química","Noturno","Somente em pública","Satisfeito",1.2,554,4.856
"188","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,172,2.184
"189","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.79,794,6.42
"190","Mecânica","Integral","Somente em pública","Indiferente",1.66,460,4.262
"191","Computação","Noturno","Somente em particular","Muito satisfeito",1.22,350,3.663
"192","Produção","Noturno","Somente em pública","Satisfeito",1.66,550,4.977
"193","Química","Diurno","Maior parte em particular","Indiferente",1.74,553,5.009
"194","Produção","Integral","Somente em pública","Insatisfeito",2.81,793,6.52
"195","Mecânica","Integral","Maior parte em pública","Insatisfeito",1.55,704,5.973
"196","Química","Noturno","Somente em pública","Muito satisfeito",1.31,742,5.917
"197","Química","Integral","Maior parte em particular","Indiferente",1.17,436,4.518
"198","Química","Noturno","Somente em pública","Muito satisfeito",1.02,502,4.786
"199","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.59,728,6.289
"200","Produção","Integral","Somente em pública","Satisfeito",1.02,407,3.767
"201","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.15,536,5.018
"202","Mecânica","Integral","Maior parte em pública","Insatisfeito",2.79,673,5.486
"203","Química","Noturno","Somente em pública","Muito satisfeito",1.14,529,4.968
"204","Produção","Integral","Maior parte em pública","Insatisfeito",1.94,668,5.566
"205","Produção","Integral","Maior parte em particular","Indiferente",1.63,575,4.661
"206","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",3.66,625,5.304
"207","Civil","Noturno","Somente em pública","Muito satisfeito",1.03,341,3.863
"208","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",2.13,685,5.898
"209","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.19,692,5.873
"210","Química","Diurno","Somente em pública","Indiferente",1.64,682,5.883
"211","Produção","Diurno","Maior parte em pública","Indiferente",1.22,421,3.829
"212","Química","Diurno","Somente em pública","Satisfeito",1.43,632,5.631
"213","Química","Noturno","Somente em pública","Muito satisfeito",1.2,302,3.391
"214","Computação","Noturno","Somente em pública","Muito satisfeito",1.22,595,5.201
"215","Química","Diurno","Maior parte em particular","Indiferente",1.41,469,4.367
"216","Computação","Diurno","Somente em pública","Satisfeito",1.32,625,4.858
"217","Civil","Noturno","Somente em particular","Muito satisfeito",1.14,256,3.082
"218","Química","Diurno","Somente em pública",NA,1.33,433,4.691
"219","Química","Diurno","Somente em pública","Satisfeito",1.21,496,4.497
"220","Mecânica","Integral","Somente em pública","Indiferente",1.65,577,5.274
"221","Química","Diurno","Somente em pública","Satisfeito",1.31,502,4.849
"222","Produção","Integral","Maior parte em particular","Indiferente",1.74,482,3.787
"223","Mecânica","Integral","Somente em pública","Insatisfeito",2.86,551,5.398
"224","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.02,232,3.007
"225","Computação","Noturno","Somente em pública","Muito satisfeito",1.03,278,2.72
"226","Civil","Diurno","Somente em pública","Satisfeito",1.17,488,4.502
"227","Computação","Noturno","Somente em pública","Muito satisfeito",1.15,433,4.262
"228","Química","Noturno","Somente em particular","Muito satisfeito",1.18,553,5
"229","Produção","Integral",NA,"Indiferente",1.86,548,4.988
"230","Produção","Integral","Maior parte em pública","Muito insatisfeito",2.88,817,6.729
"231","Química","Diurno","Somente em pública","Indiferente",2.37,415,3.736
"232",NA,"Noturno","Somente em pública","Muito satisfeito",1.11,490,4.356
"233","Produção","Integral","Maior parte em pública","Muito insatisfeito",4.84,598,5.273
"234","Elétrica","Diurno","Somente em pública","Satisfeito",1.89,596,5.485
"235","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.18,349,3.575
"236","Produção","Integral","Maior parte em particular","Insatisfeito",2.12,829,6.459
"237","Química","Integral","Somente em pública","Indiferente",2.16,691,5.789
"238","Civil","Noturno","Somente em pública","Muito satisfeito",1.01,433,4.358
"239","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.51,580,4.944
"240","Civil","Integral","Maior parte em particular","Insatisfeito",3.22,664,5.747
"241","Computação","Noturno","Somente em particular","Muito satisfeito",1.22,476,4.128
"242","Produção","Integral","Maior parte em pública","Muito insatisfeito",3.26,583,5.141
"243","Civil","Noturno","Somente em particular","Muito satisfeito",1.05,406,4.258
"244","Química","Integral","Maior parte em pública","Insatisfeito",2.2,694,5.765
"245","Produção","Integral","Maior parte em pública","Insatisfeito",2.15,842,6.882
"246","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.16,709,6.202
"247","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.03,605,5.541
"248","Química","Noturno","Somente em pública","Satisfeito",1.55,631,5.603
"249","Computação","Noturno","Somente em particular","Muito satisfeito",1.13,322,3.753
"250","Civil","Noturno","Somente em pública","Muito satisfeito",1.03,248,3.334
"251","Química","Noturno","Somente em pública","Muito satisfeito",1.12,616,5.434
"252","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.13,608,5.507
"253","Computação","Noturno","Somente em particular","Muito satisfeito",1.09,359,3.826
"254","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.02,343,3.545
"255","Mecânica","Diurno","Somente em pública","Satisfeito",1.84,533,5.05
"256","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.05,320,3.468
"257","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.88,644,5.399
"258","Computação","Noturno","Somente em pública","Muito satisfeito",1.17,356,4.192
"259","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.05,469,4.426
"260","Civil","Diurno","Somente em pública","Satisfeito",1.6,479,4.45
"261","Produção","Integral","Maior parte em particular","Insatisfeito",2.2,754,5.855
"262","Computação","Noturno","Somente em pública","Muito satisfeito",1.1,421,3.825
"263","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.4,641,5.695
"264","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.06,437,4.592
"265","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.5,749,6.263
"266","Mecânica","Noturno","Somente em pública","Satisfeito",1.24,404,4.279
"267","Química","Diurno","Somente em pública","Satisfeito",1.36,631,5.615
"268","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.83,623,5.558
"269","Química","Integral","Somente em pública","Satisfeito",2.43,551,4.856
"270","Civil","Noturno","Somente em pública","Muito satisfeito",1.06,538,5.042
"271","Química","Diurno","Somente em pública","Indiferente",3.15,598,5.24
"272","Química","Diurno","Somente em pública","Insatisfeito",1.6,581,4.974
"273","Química","Diurno","Somente em pública","Indiferente",1.9,848,6.911
"274","Elétrica","Diurno","Somente em pública","Satisfeito",2.15,523,4.567
"275","Computação","Noturno","Somente em pública","Muito satisfeito",1.1,457,4.44
"276","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.83,658,5.366
"277","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.77,670,5.533
"278","Produção","Integral","Somente em pública","Insatisfeito",4.05,731,6.431
"279","Química","Integral","Maior parte em particular","Insatisfeito",1.68,548,5.102
"280","Produção","Integral","Maior parte em particular","Insatisfeito",3.28,635,5.072
"281","Mecânica","Integral","Somente em pública","Indiferente",1.95,529,4.814
"282","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.93,767,6.48
"283","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.3,242,2.783
"284","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,365,4.018
"285","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.18,602,5.185
"286","Mecânica","Diurno","Somente em pública","Insatisfeito",2.88,551,4.983
"287","Computação","Noturno","Somente em pública","Muito satisfeito",1.06,466,4.967
"288","Civil","Diurno","Somente em pública","Satisfeito",1.41,610,5.115
"289","Produção","Noturno","Somente em pública","Muito satisfeito",1.19,713,6.341
"290","Produção","Diurno","Somente em pública","Satisfeito",1.14,566,4.871
"291","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",3.07,443,4.16
"292","Química","Noturno","Somente em pública","Satisfeito",1.17,410,4.103
"293","Civil","Integral","Maior parte em pública","Insatisfeito",3.33,587,5.035
"294","Química","Integral","Maior parte em particular","Insatisfeito",1.66,772,6.856
"295","Química","Noturno","Somente em pública","Muito satisfeito",4.72,275,2.988
"296","Mecânica","Integral","Maior parte em particular","Insatisfeito",1.98,730,6.359
"297","Mecânica","Diurno","Somente em pública","Satisfeito",1.1,788,6.596
"298","Produção","Integral","Maior parte em particular","Insatisfeito",3.17,754,6.604
"299","Mecânica","Diurno","Somente em pública","Indiferente",1.2,731,5.622
"300","Química","Diurno","Somente em pública","Satisfeito",1.48,583,4.959
"301","Mecânica","Integral","Maior parte em particular","Insatisfeito",2.31,550,5.024
"302","Produção","Diurno","Somente em pública","Indiferente",2.39,539,4.932
"303","Elétrica","Noturno","Somente em pública","Muito satisfeito",4.28,101,2.686
"304","Mecânica","Diurno","Somente em pública","Satisfeito",1.78,554,5.028
"305","Civil","Noturno","Somente em pública","Muito satisfeito",1.17,550,4.475
"306","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",5.29,674,5.662
"307","Química","Diurno","Somente em pública","Indiferente",1.27,493,4.479
"308","Química","Diurno","Somente em pública","Satisfeito",1.43,587,4.743
"309","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.04,242,2.779
"310","Química","Diurno","Somente em pública","Satisfeito",1.17,620,5.77
"311","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",3.64,739,6.271
"312","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",4.96,811,6.994
"313","Química","Diurno","Somente em pública","Muito satisfeito",1.17,443,4.119
"314","Produção","Noturno","Somente em particular","Muito satisfeito",1.26,527,5.04
"315","Elétrica","Noturno","Maior parte em particular","Muito satisfeito",1.02,376,4.07
"316","Civil","Noturno","Somente em particular","Muito satisfeito",1.14,613,5.573
"317","Produção","Diurno","Somente em pública","Muito satisfeito",1.52,490,4.695
"318","Química","Noturno","Somente em particular","Muito satisfeito",1.16,362,4.052
"319","Química","Diurno","Somente em pública","Muito satisfeito",1.19,566,5.001
"320","Produção","Integral","Maior parte em pública","Muito insatisfeito",5.56,809,6.661
"321","Mecânica","Integral","Somente em pública","Insatisfeito",2.69,421,4.321
"322","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.02,326,3.088
"323","Química","Integral","Maior parte em particular","Insatisfeito",2.28,596,5.316
"324","Química","Integral","Somente em pública","Insatisfeito",1.94,587,5.599
"325","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",6.61,833,6.866
"326","Mecânica","Integral","Maior parte em particular","Muito insatisfeito",4.3,821,6.322
"327","Produção","Noturno","Somente em pública","Muito satisfeito",1.03,346,2.823
"328","Civil","Diurno","Somente em pública","Satisfeito",1.14,622,5.877
"329","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,181,2.75
"330","Mecânica","Diurno","Somente em pública","Satisfeito",1.39,464,4.392
"331","Produção","Integral","Maior parte em particular","Muito insatisfeito",1.8,827,7.551
"332","Química","Noturno","Somente em pública","Muito satisfeito",1.16,490,5.064
"333","Química","Integral","Maior parte em particular","Insatisfeito",1.86,587,5.113
"334","Elétrica","Integral","Somente em pública","Satisfeito",1.13,359,4.034
"335","Civil","Integral","Maior parte em particular","Satisfeito",1.35,679,5.438
"336","Elétrica","Noturno","Somente em particular","Muito satisfeito",1.01,18,1.319
"337","Química","Diurno","Somente em pública","Indiferente",3.01,674,6.111
"338","Elétrica","Diurno","Maior parte em particular","Indiferente",1.54,500,4.476
"339","Produção","Diurno","Somente em pública","Indiferente",1.46,476,5.039
"340","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.98,764,5.979
"341","Química","Diurno","Somente em pública","Indiferente",1.78,439,4.475
"342","Química","Diurno","Somente em pública","Satisfeito",1.35,481,4.57
"343","Computação","Noturno","Somente em pública","Muito satisfeito",1.03,457,4.542
"344","Civil","Diurno","Somente em pública","Satisfeito",1.55,484,4.684
"345","Computação","Diurno","Somente em pública","Satisfeito",1.58,430,3.949
"346","Química","Integral","Maior parte em particular","Insatisfeito",2.37,683,6.107
"347","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,86,1.644
"348","Elétrica","Noturno","Somente em pública","Muito satisfeito",1.01,214,2.777
"349","Química","Integral","Maior parte em particular","Insatisfeito",1.98,467,4.224
"350","Produção","Integral","Somente em pública","Insatisfeito",3.13,565,4.999
"351","Elétrica","Noturno","Somente em particular","Muito satisfeito",1,202,2.75
"352","Mecânica","Integral","Maior parte em particular","Indiferente",1.88,518,4.236
"353","Elétrica","Noturno","Somente em pública","Muito satisfeito",1,299,3.458
"354","Química","Diurno","Somente em pública","Indiferente",2.03,794,6.44
"355","Química","Diurno","Maior parte em particular","Insatisfeito",2.19,641,5.958
"356","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",1.84,446,4.367
"357","Produção","Diurno","Maior parte em particular","Indiferente",2.01,736,5.761
"358","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",2.86,647,5.761
"359","Mecânica","Integral","Maior parte em pública","Muito insatisfeito",5.53,740,6.001
"360","Computação","Noturno","Somente em particular","Muito satisfeito",1.02,344,3.368
"361","Química","Diurno","Somente em pública","Indiferente",1.45,724,6.36
"362","Produção","Integral","Maior parte em pública","Muito insatisfeito",4.21,788,6.059
"363","Mecânica","Diurno","Somente em pública","Satisfeito",1.23,656,5.683
"364","Produção","Integral","Maior parte em particular","Insatisfeito",3.22,566,5.108
"365","Produção","Integral","Maior parte em particular","Insatisfeito",2.08,655,5.538
"366","Química","Diurno","Somente em pública","Satisfeito",2.82,652,5.865
"367","Produção","Integral","Maior parte em particular","Insatisfeito",2.2,458,4.46
